Group_ID,Domain,Technique_ID,Technique_Name,Sub_Technique_ID,Sub_Technique_Name,Full_Technique_ID,Full_Technique_Name,Use
G0018,Enterprise,T1204,User Execution,.002,Malicious File,T1204.002,User Execution: Malicious File,admin@338 has attempted to get victims to launch malicious Microsoft Word attachments delivered via spearphishing emails.[1]
G1030,Enterprise,T1583,Acquire Infrastructure,,,T1583,Acquire Infrastructure,"Agrius typically uses commercial VPN services for anonymizing last-hop traffic to victim networks, such as ProtonVPN.[1]"
G1030,Enterprise,T1560,Archive Collected Data,.001,Archive via Utility,T1560.001,Archive Collected Data: Archive via Utility,Agrius used 7zip to archive extracted data in preparation for exfiltration.[5]
G1030,Enterprise,T1119,Automated Collection,,,T1119,Automated Collection,"Agrius used a custom tool, sql.net4.exe, to query SQL databases and then identify and extract personally identifiable information.[5]"
G1030,Enterprise,T1110,Brute Force,,,T1110,Brute Force,Agrius engaged in various brute forcing activities via SMB in victim environments.[5]
G1030,Enterprise,T1110,Password Spraying,.003,,T1110.003,Password Spraying,Agrius engaged in password spraying via SMB in victim environments.[5]
G1030,Enterprise,T1059,Command and Scripting Interpreter,.003,Windows Command Shell,T1059.003,Command and Scripting Interpreter: Windows Command Shell,Agrius uses ASPXSpy web shells to enable follow-on command execution via cmd.exe.[1]
G1030,Enterprise,T1543,Create or Modify System Process,.003,Windows Service,T1543.003,Create or Modify System Process: Windows Service,Agrius has deployed IPsec Helper malware post-exploitation and registered it as a service for persistence.[1]
G1030,Enterprise,T1005,Data from Local System,,,T1005,Data from Local System,"Agrius gathered data from database and other critical servers in victim environments, then used wiping mechanisms as an anti-analysis and anti-forensics mechanism.[5]"
G1030,Enterprise,T1074,Data Staged,.001,Local Data Staging,T1074.001,Data Staged: Local Data Staging,"Agrius has used the folder, C:\windows\temp\s\, to stage data for exfiltration.[5]"
G1030,Enterprise,T1140,Deobfuscate/Decode Files or Information,,,T1140,Deobfuscate/Decode Files or Information,Agrius has deployed base64-encoded variants of ASPXSpy to evade detection.[1]
G1030,Enterprise,T1041,Exfiltration Over C2 Channel,,,T1041,Exfiltration Over C2 Channel,"Agrius exfiltrated staged data using tools such as Putty and WinSCP, communicating with command and control servers.[5]"
G1030,Enterprise,T1190,Exploit Public-Facing Application,,,T1190,Exploit Public-Facing Application,Agrius exploits public-facing applications for initial access to victim environments. Examples include widespread attempts to exploit CVE-2018-13379 in FortiOS devices and SQL injection activity.[1]
G1030,Enterprise,T1562,Impair Defenses,.001,Disable or Modify Tools,T1562.001,Impair Defenses: Disable or Modify Tools,"Agrius used several mechanisms to try to disable security tools. Agrius attempted to modify EDR-related services to disable auto-start on system reboot. Agrius used a publicly available driver, GMER64.sys typically used for anti-rootkit functionality, to selectively stop and remove security software processes.[5]"
G1030,Enterprise,T1570,Lateral Tool Transfer,,,T1570,Lateral Tool Transfer,Agrius downloaded some payloads for follow-on execution from legitimate filesharing services such as ufile.io and easyupload.io.[2]
G1030,Enterprise,T1036,Masquerading,,,T1036,Masquerading,"Agrius used the Plink tool for tunneling and connections to remote machines, renaming it systems.exe in some instances.[5]"
G1030,Enterprise,T1046,Network Service Discovery,,,T1046,Network Service Discovery,Agrius used the open-source port scanner WinEggDrop to perform detailed scans of hosts of interest in victim networks.[5]
G1030,Enterprise,T1003,OS Credential Dumping,.001,LSASS Memory,T1003.001,OS Credential Dumping: LSASS Memory,Agrius used tools such as Mimikatz to dump LSASS memory to capture credentials in victim environments.[5]
G1030,Enterprise,T1003,OS Credential Dumping,.002,Security Account Manager,T1003.002,OS Credential Dumping: Security Account Manager,Agrius dumped the SAM file on victim machines to capture credentials.[5]
G1030,Enterprise,T1021,Remote Services,.001,Remote Desktop Protocol,T1021.001,Remote Services: Remote Desktop Protocol,Agrius tunnels RDP traffic through deployed web shells to access victim environments via compromised accounts.[1] Agrius used the Plink tool to tunnel RDP connections for remote access and lateral movement in victim environments.[5]
G1030,Enterprise,T1018,Remote System Discovery,,,T1018,Remote System Discovery,"Agrius used the tool NBTscan to scan for remote, accessible hosts in victim environments.[5]"
G1030,Enterprise,T1505,Server Software Component,.003,Web Shell,T1505.003,Server Software Component: Web Shell,Agrius typically deploys a variant of the ASPXSpy web shell following initial access via exploitation.[1]
G1030,Enterprise,T1078,Valid Accounts,.002,Domain Accounts,T1078.002,Valid Accounts: Domain Accounts,Agrius attempted to acquire valid credentials for victim environments through various means to enable follow-on lateral movement.[5]
G0130,Enterprise,T1555,Credentials from Password Stores,.003,Credentials from Web Browsers,T1555.003,Credentials from Password Stores: Credentials from Web Browsers,"Ajax Security Team has used FireMalv custom-developed malware, which collected passwords from the Firefox browser storage.[2]"
G0130,Enterprise,T1105,Ingress Tool Transfer,,,T1105,Ingress Tool Transfer,"Ajax Security Team has used Wrapper/Gholee, custom-developed malware, which downloaded additional malware to the infected system.[2]"
G0130,Enterprise,T1056,Input Capture,.001,Keylogging,T1056.001,Input Capture: Keylogging,"Ajax Security Team has used CWoolger and MPK, custom-developed malware, which recorded all keystrokes on an infected system.[2]"
G0130,Enterprise,T1566,Phishing,.001,Spearphishing Attachment,T1566.001,Phishing: Spearphishing Attachment,Ajax Security Team has used personalized spearphishing attachments.[2]
G0130,Enterprise,T1566,Phishing,.003,Spearphishing via Service,T1566.003,Phishing: Spearphishing via Service,Ajax Security Team has used various social media channels to spearphish victims.[1]
G0130,Enterprise,T1204,User Execution,.002,Malicious File,T1204.002,User Execution: Malicious File,Ajax Security Team has lured victims into executing malicious files.[1]
G1024,Enterprise,T1531,Account Access Removal,,,T1531,Account Access Removal,Akira deletes administrator accounts in victim networks prior to encryption.[2]
G1024,Enterprise,T1560,Archive Collected Data,.001,Archive via Utility,T1560.001,Archive Collected Data: Archive via Utility,Akira uses utilities such as WinRAR to archive data prior to exfiltration.[2]
G1024,Enterprise,T1486,Data Encrypted for Impact,,,T1486,Data Encrypted for Impact,Akira encrypts files in victim environments as part of ransomware operations.[3]
G1024,Enterprise,T1213,Data from Information Repositories,.002,Sharepoint,T1213.002,Data from Information Repositories: Sharepoint,Akira has accessed and downloaded information stored in SharePoint instances as part of data gathering and exfiltration activity.[2]
G1024,Enterprise,T1482,Domain Trust Discovery,,,T1482,Domain Trust Discovery,Akira uses the built-in Nltest utility or tools such as AdFind to enumerate Active Directory trusts in victim environments.[1]
G1024,Enterprise,T1567,Exfiltration Over Web Service,.002,Exfiltration to Cloud Storage,T1567.002,Exfiltration Over Web Service: Exfiltration to Cloud Storage,Akira will exfiltrate victim data using applications such as Rclone.[2]
G1024,Enterprise,T1133,External Remote Services,,,T1133,External Remote Services,Akira uses compromised VPN accounts for initial access to victim networks.[2]
G1024,Enterprise,T1657,Financial Theft,,,T1657,Financial Theft,"Akira engages in double-extortion ransomware, exfiltrating files then encrypting them, in order to prompt victims to pay a ransom.[3]"
G1024,Enterprise,T1219,Remote Access Software,,,T1219,Remote Access Software,Akira uses legitimate utilities such as AnyDesk and PuTTy for maintaining remote access to victim environments.[2][1]
G1024,Enterprise,T1018,Remote System Discovery,,,T1018,Remote System Discovery,Akira uses software such as Advanced IP Scanner and MASSCAN to identify remote hosts within victim networks.[1]
G1024,Enterprise,T1078,Valid Accounts,,,T1078,Valid Accounts,"Akira uses valid account information to remotely access victim networks, such as VPN credentials.[2][1]"
G1000,ICS,T0817,Drive-by Compromise,,,T0817,Drive-by Compromise,ALLANITE leverages watering hole attacks to gain access into electric utilities. [2]
G1000,ICS,T0852,Screen Capture,,,T0852,Screen Capture,ALLANITE has been identified to collect and distribute screenshots of ICS systems such as HMIs. [1] [3]
G1000,ICS,T0865,Spearphishing Attachment,,,T0865,Spearphishing Attachment,ALLANITE utilized spear phishing to gain access into energy sector environments. [4]
G1000,ICS,T0859,Valid Accounts,,,T0859,Valid Accounts,ALLANITE utilized credentials collected through phishing and watering hole attacks. [1]
G0138,Enterprise,T1005,Data from Local System,,,T1005,Data from Local System,Andariel has collected large numbers of files from compromised network systems for later extraction.[1]
G0138,Enterprise,T1189,Drive-by Compromise,,,T1189,Drive-by Compromise,"Andariel has used watering hole attacks, often with zero-day exploits, to gain initial access to victims within a specific IP range.[3][4]"
G0138,Enterprise,T1203,Exploitation for Client Execution,,,T1203,Exploitation for Client Execution,"Andariel has exploited numerous ActiveX vulnerabilities, including zero-days.[1][2][4]"
G0138,Enterprise,T1592,Gather Victim Host Information,.002,Software,T1592.002,Gather Victim Host Information: Software,"Andariel has inserted a malicious script within compromised websites to collect potential victim information such as browser type, system language, Flash Player version, and other data.[4]"
G0138,Enterprise,T1590,Gather Victim Network Information,.005,IP Addresses,T1590.005,Gather Victim Network Information: IP Addresses,Andariel has limited its watering hole attacks to specific IP address ranges.[3]
G0138,Enterprise,T1105,Ingress Tool Transfer,,,T1105,Ingress Tool Transfer,Andariel has downloaded additional tools and malware onto compromised hosts.[3]
G0138,Enterprise,T1027,Obfuscated Files or Information,.003,Steganography,T1027.003,Obfuscated Files or Information: Steganography,Andariel has hidden malicious executables within PNG files.[8][9]
G0138,Enterprise,T1588,Obtain Capabilities,.001,Malware,T1588.001,Obtain Capabilities: Malware,Andariel has used a variety of publicly-available remote access Trojans (RATs) for its operations.[1]
G0138,Enterprise,T1566,Phishing,.001,Spearphishing Attachment,T1566.001,Phishing: Spearphishing Attachment,Andariel has conducted spearphishing campaigns that included malicious Word or Excel attachments.[3][8]
G0138,Enterprise,T1057,Process Discovery,,,T1057,Process Discovery,Andariel has used tasklist to enumerate processes and find a specific string.[9]
G0138,Enterprise,T1049,System Network Connections Discovery,,,T1049,System Network Connections Discovery,Andariel has used the netstat -naop tcp command to display TCP connections on a victim's machine.[9]
G0138,Enterprise,T1204,User Execution,.002,Malicious File,T1204.002,User Execution: Malicious File,Andariel has attempted to lure victims into enabling malicious macros within email attachments.[3]
G1007,Enterprise,T1587,Develop Capabilities,.001,Malware,T1587.001,Develop Capabilities: Malware,"Aoqin Dragon has used custom malware, including Mongall and Heyoka Backdoor, in their operations.[1]"
G1007,Enterprise,T1203,Exploitation for Client Execution,,,T1203,Exploitation for Client Execution,Aoqin Dragon has exploited CVE-2012-0158 and CVE-2010-3333 for execution against targeted systems.[1]
G1007,Enterprise,T1083,File and Directory Discovery,,,T1083,File and Directory Discovery,Aoqin Dragon has run scripts to identify file formats including Microsoft Word.[1]
G1007,Enterprise,T1570,Lateral Tool Transfer,,,T1570,Lateral Tool Transfer,Aoqin Dragon has spread malware in target networks by copying modules to folders masquerading as removable devices.[1]
G1007,Enterprise,T1036,Masquerading,.005,Match Legitimate Name or Location,T1036.005,Masquerading: Match Legitimate Name or Location,Aoqin Dragon has used fake icons including antivirus and external drives to disguise malicious payloads.[1]
G1007,Enterprise,T1027,Obfuscated Files or Information,.002,Software Packing,T1027.002,Obfuscated Files or Information: Software Packing,Aoqin Dragon has used the Themida packer to obfuscate malicious payloads.[1]
G1007,Enterprise,T1588,Obtain Capabilities,.002,Tool,T1588.002,Obtain Capabilities: Tool,Aoqin Dragon obtained the Heyoka open source exfiltration tool and subsequently modified it for their operations.[1]
G1007,Enterprise,T1091,Replication Through Removable Media,,,T1091,Replication Through Removable Media,Aoqin Dragon has used a dropper that employs a worm infection strategy using a removable device to breach a secure network environment.[1]
G1007,Enterprise,T1204,User Execution,.002,Malicious File,T1204.002,User Execution: Malicious File,"Aoqin Dragon has lured victims into opening weaponized documents, fake external drives, and fake antivirus to execute malicious payloads.[1]"
G1028,Mobile,T1655,Masquerading,.001,Match Legitimate Name or Location,T1655.001,Masquerading: Match Legitimate Name or Location,APT-C-23 has masqueraded malware as legitimate applications.[2][6][7]
G1028,Mobile,T1660,Phishing,,,T1660,Phishing,APT-C-23 sends malicious links to victims to download the masqueraded application.[7][6]
G1028,Mobile,T1422,System Network Configuration Discovery,,,T1422,System Network Configuration Discovery,"APT-C-23 can collect the victim’s phone number, device information, IMSI, etc.[6]"
G0099,Enterprise,T1059,Command and Scripting Interpreter,.005,Visual Basic,T1059.005,Command and Scripting Interpreter: Visual Basic,APT-C-36 has embedded a VBScript within a malicious Word document which is executed upon the document opening.[1]
G0099,Enterprise,T1105,Ingress Tool Transfer,,,T1105,Ingress Tool Transfer,APT-C-36 has downloaded binary data from a specified domain after the malicious document is opened.[1]
G0099,Enterprise,T1036,Masquerading,.004,Masquerade Task or Service,T1036.004,Masquerading: Masquerade Task or Service,APT-C-36 has disguised its scheduled tasks as those used by Google.[1]
G0099,Enterprise,T1571,Non-Standard Port,,,T1571,Non-Standard Port,APT-C-36 has used port 4050 for C2 communications.[1]
G0099,Enterprise,T1027,Obfuscated Files or Information,,,T1027,Obfuscated Files or Information,"APT-C-36 has used ConfuserEx to obfuscate its variant of Imminent Monitor, compressed payload and RAT packages, and password protected encrypted email attachments to avoid detection.[1]"
G0099,Enterprise,T1588,Obtain Capabilities,.002,Tool,T1588.002,Obtain Capabilities: Tool,APT-C-36 obtained and used a modified variant of Imminent Monitor.[1]
G0099,Enterprise,T1566,Phishing,.001,Spearphishing Attachment,T1566.001,Phishing: Spearphishing Attachment,APT-C-36 has used spearphishing emails with password protected RAR attachment to avoid being detected by the email gateway.[1]
G0099,Enterprise,T1053,Scheduled Task/Job,.005,Scheduled Task,T1053.005,Scheduled Task/Job: Scheduled Task,"APT-C-36 has used a macro function to set scheduled tasks, disguised as those used by Google.[1]"
G0099,Enterprise,T1204,User Execution,.002,Malicious File,T1204.002,User Execution: Malicious File,APT-C-36 has prompted victims to accept macros in order to execute the subsequent payload.[1]
G0006,Enterprise,T1087,Account Discovery,.001,Local Account,T1087.001,Account Discovery: Local Account,"APT1 used the commands net localgroup,net user, and net group to find accounts on the system.[1]"
G0006,Enterprise,T1583,Acquire Infrastructure,.001,Domains,T1583.001,Acquire Infrastructure: Domains,APT1 has registered hundreds of domains for use in operations.[1]
G0006,Enterprise,T1560,Archive Collected Data,.001,Archive via Utility,T1560.001,Archive Collected Data: Archive via Utility,APT1 has used RAR to compress files before moving them outside of the victim network.[1]
G0006,Enterprise,T1119,Automated Collection,,,T1119,Automated Collection,APT1 used a batch script to perform a series of discovery techniques and saves it to a text file.[1]
G0006,Enterprise,T1059,Command and Scripting Interpreter,.003,Windows Command Shell,T1059.003,Command and Scripting Interpreter: Windows Command Shell,"APT1 has used the Windows command shell to execute commands, and batch scripting to automate execution.[1]"
G0006,Enterprise,T1584,Compromise Infrastructure,.001,Domains,T1584.001,Compromise Infrastructure: Domains,APT1 hijacked FQDNs associated with legitimate websites hosted by hop points.[1]
G0006,Enterprise,T1005,Data from Local System,,,T1005,Data from Local System,APT1 has collected files from a local victim.[1]
G0006,Enterprise,T1114,Email Collection,.001,Local Email Collection,T1114.001,Email Collection: Local Email Collection,"APT1 uses two utilities, GETMAIL and MAPIGET, to steal email. GETMAIL extracts emails from archived Outlook .pst files.[1]"
G0006,Enterprise,T1114,Email Collection,.002,Remote Email Collection,T1114.002,Email Collection: Remote Email Collection,"APT1 uses two utilities, GETMAIL and MAPIGET, to steal email. MAPIGET steals email still on Exchange servers that has not yet been archived.[1]"
G0006,Enterprise,T1585,Establish Accounts,.002,Email Accounts,T1585.002,Establish Accounts: Email Accounts,"APT1 has created email accounts for later use in social engineering, phishing, and when registering domains.[1]"
G0006,Enterprise,T1036,Masquerading,.005,Match Legitimate Name or Location,T1036.005,Masquerading: Match Legitimate Name or Location,"The file name AcroRD32.exe, a legitimate process name for Adobe's Acrobat Reader, was used by APT1 as a name for malware.[1][3]"
G0006,Enterprise,T1135,Network Share Discovery,,,T1135,Network Share Discovery,APT1 listed connected network shares.[1]
G0006,Enterprise,T1588,Obtain Capabilities,.001,Malware,T1588.001,Obtain Capabilities: Malware,APT1 used publicly available malware for privilege escalation.[1]
G0006,Enterprise,T1588,Obtain Capabilities,.002,Tool,T1588.002,Obtain Capabilities: Tool,APT1 has used various open-source tools for privilege escalation purposes.[1]
G0006,Enterprise,T1003,OS Credential Dumping,.001,LSASS Memory,T1003.001,OS Credential Dumping: LSASS Memory,APT1 has been known to use credential dumping using Mimikatz.[1]
G0006,Enterprise,T1566,Phishing,.001,Spearphishing Attachment,T1566.001,Phishing: Spearphishing Attachment,APT1 has sent spearphishing emails containing malicious attachments.[1]
G0006,Enterprise,T1566,Phishing,.002,Spearphishing Link,T1566.002,Phishing: Spearphishing Link,APT1 has sent spearphishing emails containing hyperlinks to malicious files.[1]
G0006,Enterprise,T1057,Process Discovery,,,T1057,Process Discovery,APT1 gathered a list of running processes on the system using tasklist /v.[1]
G0006,Enterprise,T1021,Remote Services,.001,Remote Desktop Protocol,T1021.001,Remote Services: Remote Desktop Protocol,The APT1 group is known to have used RDP during operations.[4]
G0006,Enterprise,T1016,System Network Configuration Discovery,,,T1016,System Network Configuration Discovery,APT1 used the ipconfig /all command to gather network configuration information.[1]
G0006,Enterprise,T1049,System Network Connections Discovery,,,T1049,System Network Connections Discovery,APT1 used the net use command to get a listing on network connections.[1]
G0006,Enterprise,T1007,System Service Discovery,,,T1007,System Service Discovery,APT1 used the commands net start and tasklist to get a listing of the services on the system.[1]
G0006,Enterprise,T1550,Use Alternate Authentication Material,.002,Pass the Hash,T1550.002,Use Alternate Authentication Material: Pass the Hash,The APT1 group is known to have used pass the hash.[1]
G0005,Enterprise,T1568,Dynamic Resolution,.003,DNS Calculation,T1568.003,Dynamic Resolution: DNS Calculation,APT12 has used multiple variants of DNS Calculation including multiplying the first two octets of an IP address and adding the third octet to that value in order to get a resulting command and control port.[1]
G0005,Enterprise,T1203,Exploitation for Client Execution,,,T1203,Exploitation for Client Execution,"APT12 has exploited multiple vulnerabilities for execution, including Microsoft Office vulnerabilities (CVE-2009-3129, CVE-2012-0158) and vulnerabilities in Adobe Reader and Flash (CVE-2009-4324, CVE-2009-0927, CVE-2011-0609, CVE-2011-0611).[2][3]"
G0005,Enterprise,T1566,Phishing,.001,Spearphishing Attachment,T1566.001,Phishing: Spearphishing Attachment,APT12 has sent emails with malicious Microsoft Office documents and PDFs attached.[2][3]
G0005,Enterprise,T1204,User Execution,.002,Malicious File,T1204.002,User Execution: Malicious File,APT12 has attempted to get victims to open malicious Microsoft Word and PDF attachment sent via spearphishing.[2][3]
G0005,Enterprise,T1102,Web Service,.002,Bidirectional Communication,T1102.002,Web Service: Bidirectional Communication,APT12 has used blogs and WordPress for C2 infrastructure.[1]
G0023,Enterprise,T1584,Compromise Infrastructure,.004,Server,T1584.004,Compromise Infrastructure: Server,APT16 has compromised otherwise legitimate sites as staging servers for second-stage payloads.[1]
G0025,Enterprise,T1583,Acquire Infrastructure,.006,Web Services,T1583.006,Acquire Infrastructure: Web Services,APT17 has created profile pages in Microsoft TechNet that were used as C2 infrastructure.[1]
G0025,Enterprise,T1585,Establish Accounts,,,T1585,Establish Accounts,"APT17 has created and cultivated profile pages in Microsoft TechNet. To make profile pages appear more legitimate, APT17 has created biographical sections and posted in forum threads.[1]"
G0026,Enterprise,T1071,Application Layer Protocol,.001,Web Protocols,T1071.001,Application Layer Protocol: Web Protocols,APT18 uses HTTP for C2 communications.[4]
G0026,Enterprise,T1071,Application Layer Protocol,.004,DNS,T1071.004,Application Layer Protocol: DNS,APT18 uses DNS for C2 communications.[4]
G0026,Enterprise,T1547,Boot or Logon Autostart Execution,.001,Registry Run Keys / Startup Folder,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,APT18 establishes persistence via the HKCU\Software\Microsoft\Windows\CurrentVersion\Run key.[3][4]
G0026,Enterprise,T1059,Command and Scripting Interpreter,.003,Windows Command Shell,T1059.003,Command and Scripting Interpreter: Windows Command Shell,APT18 uses cmd.exe to execute commands on the victim’s machine.[4][3]
G0026,Enterprise,T1133,External Remote Services,,,T1133,External Remote Services,APT18 actors leverage legitimate credentials to log into external remote services.[5]
G0026,Enterprise,T1083,File and Directory Discovery,,,T1083,File and Directory Discovery,APT18 can list files information for specific directories.[4]
G0026,Enterprise,T1070,Indicator Removal,.004,File Deletion,T1070.004,Indicator Removal: File Deletion,APT18 actors deleted tools and batch files from victim systems.[1]
G0026,Enterprise,T1105,Ingress Tool Transfer,,,T1105,Ingress Tool Transfer,APT18 can upload a file to the victim’s machine.[4]
G0026,Enterprise,T1027,Obfuscated Files or Information,.013,Encrypted/Encoded File,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,APT18 obfuscates strings in the payload.[4]
G0026,Enterprise,T1053,Scheduled Task/Job,.002,At,T1053.002,Scheduled Task/Job: At,APT18 actors used the native at Windows task scheduler tool to use scheduled tasks for execution on a victim network.[1]
G0026,Enterprise,T1082,System Information Discovery,,,T1082,System Information Discovery,APT18 can collect system information from the victim’s machine.[4]
G0026,Enterprise,T1078,Valid Accounts,,,T1078,Valid Accounts,APT18 actors leverage legitimate credentials to log into external remote services.[5]
G0073,Enterprise,T1071,Application Layer Protocol,.001,Web Protocols,T1071.001,Application Layer Protocol: Web Protocols,APT19 used HTTP for C2 communications. APT19 also used an HTTP malware variant to communicate over HTTP for C2.[1][4]
G0073,Enterprise,T1547,Boot or Logon Autostart Execution,.001,Registry Run Keys / Startup Folder,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,An APT19 HTTP malware variant establishes persistence by setting the Registry key HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Windows Debug Tools-%LOCALAPPDATA%\.[4]
G0073,Enterprise,T1059,Command and Scripting Interpreter,,,T1059,Command and Scripting Interpreter,APT19 downloaded and launched code within a SCT file.[1]
G0073,Enterprise,T1059,PowerShell,.001,,T1059.001,PowerShell,APT19 used PowerShell commands to execute payloads.[1]
G0073,Enterprise,T1543,Create or Modify System Process,.003,Windows Service,T1543.003,Create or Modify System Process: Windows Service,An APT19 Port 22 malware variant registers itself as a service.[4]
G0073,Enterprise,T1132,Data Encoding,.001,Standard Encoding,T1132.001,Data Encoding: Standard Encoding,An APT19 HTTP malware variant used Base64 to encode communications to the C2 server.[4]
G0073,Enterprise,T1140,Deobfuscate/Decode Files or Information,,,T1140,Deobfuscate/Decode Files or Information,An APT19 HTTP malware variant decrypts strings using single-byte XOR keys.[4]
G0073,Enterprise,T1189,Drive-by Compromise,,,T1189,Drive-by Compromise,APT19 performed a watering hole attack on forbes.com in 2014 to compromise targets.[4]
G0073,Enterprise,T1564,Hide Artifacts,.003,Hidden Window,T1564.003,Hide Artifacts: Hidden Window,APT19 used -W Hidden to conceal PowerShell windows by setting the WindowStyle parameter to hidden. [1]
G0073,Enterprise,T1574,Hijack Execution Flow,.002,DLL Side-Loading,T1574.002,Hijack Execution Flow: DLL Side-Loading,APT19 launched an HTTP malware variant and a Port 22 malware variant using a legitimate executable that loaded the malicious DLL.[4]
G0073,Enterprise,T1112,Modify Registry,,,T1112,Modify Registry,APT19 uses a Port 22 malware variant to modify several Registry keys.[4]
G0073,Enterprise,T1027,Obfuscated Files or Information,.010,Command Obfuscation,T1027.010,Obfuscated Files or Information: Command Obfuscation,APT19 used Base64 to obfuscate executed commands.[1]
G0073,Enterprise,T1027,Obfuscated Files or Information,.013,Encrypted/Encoded File,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,APT19 used Base64 to obfuscate payloads.[1]
G0073,Enterprise,T1588,Obtain Capabilities,.002,Tool,T1588.002,Obtain Capabilities: Tool,APT19 has obtained and used publicly-available tools like Empire.[6][1]
G0073,Enterprise,T1566,Phishing,.001,Spearphishing Attachment,T1566.001,Phishing: Spearphishing Attachment,APT19 sent spearphishing emails with malicious attachments in RTF and XLSM formats to deliver initial exploits.[1]
G0073,Enterprise,T1218,System Binary Proxy Execution,.010,Regsvr32,T1218.010,System Binary Proxy Execution: Regsvr32,APT19 used Regsvr32 to bypass application control techniques.[1]
G0073,Enterprise,T1218,System Binary Proxy Execution,.011,Rundll32,T1218.011,System Binary Proxy Execution: Rundll32,APT19 configured its payload to inject into the rundll32.exe.[1]
G0073,Enterprise,T1082,System Information Discovery,,,T1082,System Information Discovery,APT19 collected system architecture information. APT19 used an HTTP malware variant and a Port 22 malware variant to gather the hostname and CPU information from the victim’s machine.[1][4]
G0073,Enterprise,T1016,System Network Configuration Discovery,,,T1016,System Network Configuration Discovery,APT19 used an HTTP malware variant and a Port 22 malware variant to collect the MAC address and IP address from the victim’s machine.[4]
G0073,Enterprise,T1033,System Owner/User Discovery,,,T1033,System Owner/User Discovery,APT19 used an HTTP malware variant and a Port 22 malware variant to collect the victim’s username.[4]
G0073,Enterprise,T1204,User Execution,.002,Malicious File,T1204.002,User Execution: Malicious File,APT19 attempted to get users to launch malicious attachments delivered via spearphishing emails.[1]
G0007,Enterprise,T1134,Access Token Manipulation,.001,Token Impersonation/Theft,T1134.001,Access Token Manipulation: Token Impersonation/Theft,APT28 has used CVE-2015-1701 to access the SYSTEM token and copy it into the current process as part of privilege escalation.[27]
G0007,Enterprise,T1098,Account Manipulation,.002,Additional Email Delegate Permissions,T1098.002,Account Manipulation: Additional Email Delegate Permissions,APT28 has used a Powershell cmdlet to grant the ApplicationImpersonation role to a compromised account.[2]
G0007,Enterprise,T1583,Acquire Infrastructure,.001,Domains,T1583.001,Acquire Infrastructure: Domains,"APT28 registered domains imitating NATO, OSCE security websites, Caucasus information resources, and other organizations.[6][14][28]"
